,name,institution,old_country_name_acquired,current_country_name_acquired,city,state,year,field,acquired_lat,acquired_lon,acquired_country_short_name,birth_country_old_name,birth_country_current_name,birth_lat,birth_lon,birth_country_short_name,age
589,Otto Loewi,Graz University,Austria,Austria,Graz,,1936,Physiology or Medicine,47.070714,15.439504,AT,Germany,Germany,51.165691,10.451526,DE,63
412,Johannes Stark,Greifswald University,Germany,Germany,Greifswald,,1919,Physics,54.0865463,13.3923414,DE,Germany,Germany,51.165691,10.451526,DE,45
245,Frits Zernike,Groningen University,the Netherlands,the Netherlands,Groningen,,1953,Physics,53.2193835,6.5665018,NL,the Netherlands,the Netherlands,52.132633,5.291266,NL,65
751,Sir John B. Gurdon,Gurdon Institute,United Kingdom,United Kingdom,Cambridge,,2012,Physiology or Medicine,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,79
702,Ronald G.W. Norrish,Institute of Physical Chemistry,United Kingdom,United Kingdom,Cambridge,,1967,Chemistry,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,70
541,Max F. Perutz,MRC Laboratory of Molecular Biology,United Kingdom,United Kingdom,Cambridge,,1962,Chemistry,52.205337,0.121817,GB,Austria,Austria,47.516231,14.550072,AT,48
418,John C. Kendrew,MRC Laboratory of Molecular Biology,United Kingdom,United Kingdom,Cambridge,,1962,Chemistry,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,45
239,Frederick Sanger,MRC Laboratory of Molecular Biology,United Kingdom,United Kingdom,Cambridge,,1980,Chemistry,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,62
3,Aaron Klug,MRC Laboratory of Molecular Biology,United Kingdom,United Kingdom,Cambridge,,1982,Chemistry,52.205337,0.121817,GB,Lithuania,Lithuania,55.169438,23.881275,LT,56
424,John E. Walker,MRC Laboratory of Molecular Biology,United Kingdom,United Kingdom,Cambridge,,1997,Chemistry,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,56
804,Venkatraman Ramakrishnan,MRC Laboratory of Molecular Biology,United Kingdom,United Kingdom,Cambridge,,2009,Chemistry,52.205337,0.121817,GB,India,India,20.593684,78.96288,IN,57
225,Francis Crick,MRC Laboratory of Molecular Biology,United Kingdom,United Kingdom,Cambridge,,1962,Physiology or Medicine,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,46
135,César Milstein,MRC Laboratory of Molecular Biology,United Kingdom,United Kingdom,Cambridge,,1984,Physiology or Medicine,52.205337,0.121817,GB,Argentina,Argentina,-38.416097,-63.616672,AR,57
423,John E. Sulston,The Wellcome Trust Sanger Institute,United Kingdom,United Kingdom,Cambridge,,2002,Physiology or Medicine,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,60
43,Amartya Sen,Trinity College,United Kingdom,United Kingdom,Cambridge,,1998,Economic Sciences,52.205337,0.121817,GB,India,India,20.593684,78.96288,IN,65
375,J.J. Thomson,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1906,Physics,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,50
95,C.T.R. Wilson,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1927,Physics,52.205337,0.121817,GB,Scotland,Scotland,56.4906712,-4.2026458,GB,58
601,Paul A.M. Dirac,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1933,Physics,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,31
