,name,institution,old_country_name_acquired,current_country_name_acquired,city,state,year,field,acquired_lat,acquired_lon,acquired_country_short_name,birth_country_old_name,birth_country_current_name,birth_lat,birth_lon,birth_country_short_name,age
633,Pierre-Gilles de Gennes,Collège de France,France,France,Paris,,1991,Physics,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,59
126,Claude Cohen-Tannoudji,Collège de France,France,France,Paris,,1997,Physics,48.856614,2.3522219,FR,French Algeria,Algeria,28.033886,1.659626,DZ,64
126,Claude Cohen-Tannoudji,École Normale Supérieure,France,France,Paris,,1997,Physics,48.856614,2.3522219,FR,French Algeria,Algeria,28.033886,1.659626,DZ,64
724,Serge Haroche,Collège de France,France,France,Paris,,2012,Physics,48.856614,2.3522219,FR,Morocco,Morocco,31.791702,-7.09262,MA,68
724,Serge Haroche,École Normale Supérieure,France,France,Paris,,2012,Physics,48.856614,2.3522219,FR,Morocco,Morocco,31.791702,-7.09262,MA,68
402,Jean-Marie Lehn,Collège de France,France,France,Paris,,1987,Chemistry,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,48
402,Jean-Marie Lehn,Université Louis Pasteur,France,France,Strasbourg,,1987,Chemistry,48.5734053,7.7521113,FR,France,France,46.227638,2.213749,FR,48
632,Pierre Curie,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),France,France,Paris,,1903,Physics,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,44
536,Maurice Allais,École Nationale Supérieur des Mines de Paris,France,France,Paris,,1988,Economic Sciences,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,77
35,Alfred Kastler,École Normale Supérieure,France,France,Paris,,1966,Physics,48.856614,2.3522219,FR,Germany,France,46.227638,2.213749,FR,64
328,Henri Becquerel,École Polytechnique,France,France,Paris,,1903,Physics,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,51
249,Frédéric Joliot,Institut du Radium,France,France,Paris,,1935,Chemistry,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,35
362,Irène Joliot-Curie,Institut du Radium,France,France,Paris,,1935,Chemistry,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,38
40,Alphonse Laveran,Institut Pasteur,France,France,Paris,,1907,Physiology or Medicine,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,62
356,Ilya Mechnikov,Institut Pasteur,France,France,Paris,,1908,Physiology or Medicine,48.856614,2.3522219,FR,Russian Empire,Ukraine,48.379433,31.16558,UA,63
232,François Jacob,Institut Pasteur,France,France,Paris,,1965,Physiology or Medicine,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,45
52,André Lwoff,Institut Pasteur,France,France,Paris,,1965,Physiology or Medicine,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,63
381,Jacques Monod,Institut Pasteur,France,France,Paris,,1965,Physiology or Medicine,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,55
234,Françoise Barré-Sinoussi,Regulation of Retroviral Infections Unit,France,France,Paris,,2008,Physiology or Medicine,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,61
253,Gabriel Lippmann,Sorbonne University,France,France,Paris,,1908,Physics,48.856614,2.3522219,FR,Luxembourg,Luxembourg,49.815273,6.129583,LU,63
398,Jean Baptiste Perrin,Sorbonne University,France,France,Paris,,1926,Physics,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,56
331,Henri Moissan,Sorbonne University,France,France,Paris,,1906,Chemistry,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,54
522,Marie Curie,Sorbonne University,France,France,Paris,,1911,Chemistry,48.856614,2.3522219,FR,Russian Empire,Poland,51.919438,19.145136,PL,44
117,Charles Richet,Sorbonne University,France,France,Paris,,1913,Physiology or Medicine,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,63
506,Louis Renault,Sorbonne University,France,France,Paris,,1907,Peace,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,64
507,Louis de Broglie,Sorbonne University,France,France,Paris,,1929,Physics,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,37
399,Jean Dausset,Université de Paris,France,France,Paris,,1980,Physiology or Medicine,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,64
508,Luc Montagnier,World Foundation for AIDS Research and Prevention,France,France,Paris,,2008,Physiology or Medicine,48.856614,2.3522219,FR,France,France,46.227638,2.213749,FR,76
478,Kurt Alder,Cologne University,Federal Republic of Germany,Federal Republic of Germany,Cologne,,1950,Chemistry,50.937531,6.9602786,DE,Prussia,Poland,51.919438,19.145136,PL,48
571,Niels Bohr,Copenhagen University,Denmark,Denmark,Copenhagen,,1922,Physics,55.6760968,12.5683371,US,Denmark,Denmark,56.26392,9.501785,DK,37
69,August Krogh,Copenhagen University,Denmark,Denmark,Copenhagen,,1920,Physiology or Medicine,55.6760968,12.5683371,US,Denmark,Denmark,56.26392,9.501785,DK,46
411,Johannes Fibiger,Copenhagen University,Denmark,Denmark,Copenhagen,,1926,Physiology or Medicine,55.6760968,12.5683371,US,Denmark,Denmark,56.26392,9.501785,DK,59
573,Niels Ryberg Finsen,Finsen Medical Light Institute,Denmark,Denmark,Copenhagen,,1903,Physiology or Medicine,55.6760968,12.5683371,US,Faroe Islands (Denmark),Faroe Islands (Denmark),54.9508691,11.9897761,DK,43
1,Aage N. Bohr,Niels Bohr Institute,Denmark,Denmark,Copenhagen,,1975,Physics,55.6760968,12.5683371,US,Denmark,Denmark,56.26392,9.501785,DK,53
78,Ben R. Mottelson,Nordita,Denmark,Denmark,Copenhagen,,1975,Physics,55.6760968,12.5683371,US,USA,USA,37.09024,-95.712891,US,49
332,Henrik Dam,Polytechnic Institute,Denmark,Denmark,Copenhagen,,1943,Physiology or Medicine,55.6760968,12.5683371,US,Denmark,Denmark,56.26392,9.501785,DK,48
310,Hans Bethe,Cornell University,USA,USA,Ithaca,NY,1967,Physics,42.4439614,-76.5018807,US,Germany,France,46.227638,2.213749,FR,61
466,Kenneth G. Wilson,Cornell University,USA,USA,Ithaca,NY,1982,Physics,42.4439614,-76.5018807,US,USA,USA,37.09024,-95.712891,US,46
150,David M. Lee,Cornell University,USA,USA,Ithaca,NY,1996,Physics,42.4439614,-76.5018807,US,USA,USA,37.09024,-95.712891,US,65
672,Robert C. Richardson,Cornell University,USA,USA,Ithaca,NY,1996,Physics,42.4439614,-76.5018807,US,USA,USA,37.09024,-95.712891,US,59
383,James B. Sumner,Cornell University,USA,USA,Ithaca,NY,1946,Chemistry,42.4439614,-76.5018807,US,USA,USA,37.09024,-95.712891,US,59
810,Vincent du Vigneaud,Cornell University,USA,USA,Ithaca,NY,1955,Chemistry,42.4439614,-76.5018807,US,USA,USA,37.09024,-95.712891,US,54
